"JobName","Result","DataSize(GB)","BackupSize(GB)","DedupRatio","CompressRatio","Date"
"VMware - Cloudian","Success","40","6.5","3.3x","1.9x","7/27/2020 1:05:49 PM"
"VMware - Cloudian","Success","0.17","0.07","1x","2.6x","7/28/2020 12:00:00 AM"
"VMware - Cloudian","Success","1.88","0.46","1x","4x","7/29/2020 12:00:07 AM"
"VMware - Cloudian","Success","1.18","0.38","1.5x","2.1x","7/30/2020 12:00:11 AM"
"VMware - File Server","Success","2.34","0.91","1.3x","2x","8/1/2019 2:00:10 AM"
"VMware - File Server","Success","1.62","0.7","1.1x","2x","8/2/2019 2:00:15 AM"
"VMware - File Server","Success","3.52","1.43","1.2x","2x","8/3/2019 2:00:06 AM"
"VMware - File Server","Success","1.55","0.64","1.1x","2.2x","8/4/2019 2:00:21 AM"
"VMware - File Server","Success","2.16","0.9","1.2x","2x","8/5/2019 2:00:05 AM"
"VMware - File Server","Success","1.74","0.67","1.2x","2.1x","8/6/2019 2:00:19 AM"
"VMware - File Server","Success","2.57","1.05","1.2x","2x","8/7/2019 2:00:05 AM"
"VMware - File Server","Success","1.52","0.63","1.1x","2.2x","8/8/2019 2:00:06 AM"
"VMware - File Server","Success","2.29","1","1.1x","2x","8/9/2019 2:00:16 AM"
"VMware - File Server","Success","1.98","0.68","1.3x","2.3x","8/10/2019 2:00:05 AM"
"VMware - File Server","Success","1.89","0.84","1.2x","1.9x","8/11/2019 2:00:02 AM"
"VMware - File Server","Success","1.58","0.68","1.1x","2.1x","8/12/2019 2:00:06 AM"
"VMware - File Server","Success","2.22","0.89","1.3x","1.9x","8/13/2019 2:00:14 AM"
"VMware - File Server","Success","1.77","0.71","1.1x","2.3x","8/14/2019 2:00:10 AM"
"VMware - File Server","Success","2.11","0.87","1.3x","1.9x","8/15/2019 2:00:05 AM"
"VMware - File Server","Success","0.95","0.4","1.1x","2.1x","8/15/2019 10:27:32 AM"
"VMware - File Server","Success","1.51","0.63","1.1x","2.1x","8/16/2019 2:00:05 AM"
"VMware - File Server","Success","2.16","0.92","1.2x","1.9x","8/17/2019 2:00:21 AM"
"VMware - File Server","Success","1.83","0.67","1.3x","2.2x","8/18/2019 2:00:14 AM"
"VMware - File Server","Success","2.12","0.84","1.3x","2x","8/19/2019 2:00:18 AM"
"VMware - File Server","Success","1.74","0.65","1.2x","2.2x","8/20/2019 2:00:15 AM"
"VMware - File Server","Success","2.48","0.96","1.3x","2x","8/21/2019 2:00:07 AM"
"VMware - File Server","Success","1.63","0.66","1.2x","2.1x","8/22/2019 2:00:12 AM"
"VMware - File Server","Success","2.13","0.88","1.3x","1.9x","8/23/2019 2:00:14 AM"
"VMware - File Server","Success","1.62","0.67","1.1x","2.1x","8/24/2019 2:00:02 AM"
"VMware - File Server","Success","2.07","0.85","1.3x","1.9x","8/25/2019 2:00:12 AM"
"VMware - File Server","Success","1.66","0.65","1.2x","2.1x","8/25/2019 5:41:25 PM"
"VMware - File Server","Success","1.08","0.38","1.4x","2x","8/26/2019 2:00:16 AM"
"VMware - File Server","Success","2.22","0.9","1.2x","2x","8/27/2019 2:00:18 AM"
"VMware - File Server","Success","1.79","0.68","1.2x","2.1x","8/28/2019 2:00:11 AM"
"VMware - File Server","Success","3.11","1.16","1.3x","2.1x","8/29/2019 2:00:03 AM"
"VMware - File Server","Failed","0","0","1x","1x","8/30/2019 2:00:43 AM"
"VMware - File Server","Failed","0","0","1x","1x","8/30/2019 2:28:17 AM"
"VMware - File Server","Failed","0","0.02","1x","0x","8/30/2019 2:56:54 AM"
"VMware - File Server","Failed","0","0","1x","1x","8/30/2019 3:51:38 AM"
"VMware - File Server","Success","1.73","0.73","1.1x","2.1x","8/30/2019 9:06:09 AM"
"VMware - File Server","Success","1.85","0.64","1.4x","2.1x","8/31/2019 2:00:05 AM"
"VMware - File Server","Success","1.72","0.63","1.2x","2.2x","9/1/2019 2:00:22 AM"
"VMware - File Server","Success","2.05","0.86","1.2x","1.9x","9/2/2019 2:00:04 AM"
"VMware - File Server","Success","1.82","0.66","1.3x","2.2x","9/3/2019 2:00:18 AM"
"VMware - File Server","Success","2.11","0.86","1.2x","2x","9/4/2019 2:00:16 AM"
"VMware - File Server","Success","1.78","0.69","1.2x","2.1x","9/5/2019 2:00:02 AM"
"VMware - File Server","Success","2.14","0.84","1.3x","1.9x","9/6/2019 2:00:11 AM"
"VMware - File Server","Success","1.88","0.71","1.3x","2.1x","9/7/2019 2:00:12 AM"
"VMware - File Server","Success","2.02","0.84","1.3x","1.9x","9/8/2019 2:00:04 AM"
"VMware - File Server","Success","1.39","0.48","1.3x","2.3x","9/9/2019 2:00:17 AM"
"VMware - File Server","Success","2.3","0.93","1.2x","2x","9/10/2019 2:00:03 AM"
"VMware - File Server","Success","1.15","0.42","1.3x","2.1x","9/10/2019 11:26:52 AM"
"VMware - File Server","Success","1.57","0.65","1.1x","2.2x","9/11/2019 2:00:19 AM"
"VMware - File Server","Success","3.02","1.14","1.3x","2.1x","9/12/2019 2:00:10 AM"
"VMware - File Server","Success","1.73","0.66","1.2x","2.2x","9/13/2019 2:00:12 AM"
"VMware - File Server","Success","2.48","0.96","1.3x","2x","9/14/2019 2:00:06 AM"
"VMware - File Server","Success","1.86","0.65","1.3x","2.2x","9/15/2019 2:00:14 AM"
"VMware - File Server","Success","2.25","0.9","1.3x","2x","9/16/2019 2:00:15 AM"
"VMware - File Server","Success","1.75","0.74","1.1x","2.1x","9/17/2019 2:00:16 AM"
"VMware - File Server","Success","2.25","0.94","1.2x","2x","9/18/2019 2:00:17 AM"
"VMware - File Server","Success","1.57","0.66","1.1x","2.1x","9/19/2019 2:00:22 AM"
"VMware - File Server","Success","2.16","0.88","1.2x","2x","9/20/2019 2:00:17 AM"
"VMware - File Server","Success","1.89","0.7","1.3x","2.1x","9/21/2019 2:00:11 AM"
"VMware - File Server","Success","2.71","1.07","1.2x","2.1x","9/22/2019 2:00:11 AM"
