"Name","JobType","SheduleEnabledTime","ScheduleOptions","RestorePoints","RepoName","Algorithm","FullBackupScheduleKind","FullBackupDays","TransformFullToSyntethic","TransformIncrementsToSyntethic","TransformToSyntethicDays"
"GFS","BackupSync","4/22/2020 15:55:18","Start time: [4/22/2020 15:36:49], Latest run time: [4/22/2020 15:31:49], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Continuous options: [Enabled: True, ScheduleString: <scheduler><Sunday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Sunday><Monday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Monday><Tuesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Tuesday><Wednesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Wednesday><Thursday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Thursday><Friday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Friday><Saturday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Saturday></scheduler>]","7","NTFS-Bulk","Increment","Daily","Saturday","True","False","Saturday"
"NoGFS","BackupSync",,"Start time: [4/22/2020 15:36:12], Latest run time: [4/22/2020 15:31:12], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Continuous options: [Enabled: True, ScheduleString: <scheduler><Sunday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Sunday><Monday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Monday><Tuesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Tuesday><Wednesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Wednesday><Thursday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Thursday><Friday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Friday><Saturday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Saturday></scheduler>]","7","NTFS-Bulk","Increment","Daily","Saturday","True","False","Saturday"
"DomainControllers","Backup","3/23/2020 15:27:08","Start time: [4/20/2020 16:25:00], Latest run time: [4/20/2020 14:59:21], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Periodically options: [Enabled: True, Period: 4 hour(s), ScheduleString: <scheduler><Sunday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Sunday><Monday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Monday><Tuesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Tuesday><Wednesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Wednesday><Thursday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Thursday><Friday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Friday><Saturday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Saturday></scheduler>, HourlyOffset: 25]","7","ReFS-PerVM","Increment","Monthly","Saturday","True","False","Saturday"
"SQLLogTest","Backup",,"Start time: [3/23/2020 22:00:00], Latest run time: [3/23/2020 15:35:05], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Daily options: [Enabled: True, DayNumberInMonth: Everyday, Days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday]","14","ReFS-PerVM","Increment","Daily","Saturday","True","False","Saturday"
"Backup Copy Job 1","BackupSync","12/13/2019 11:03:43","Start time: [6/24/2019 11:28:39], Latest run time: [12/16/2019 00:00:05], Timeout for backup completion: [180min], Next run time: [12/16/2019 00:00:06], Retry times on failure: [3], Retry timeout: [10 min], Continuous options: [Enabled: True, ScheduleString: <scheduler><Sunday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Sunday><Monday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Monday><Tuesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Tuesday><Wednesday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Wednesday><Thursday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Thursday><Friday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Friday><Saturday>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0</Saturday></scheduler>]","7","NTFS-Bulk","Increment","Daily","Saturday","True","False","Saturday"
"AUSVCENTER-TagTest","Backup","3/29/2020 07:42:35","Start time: [4/21/2020 17:05:00], Latest run time: [4/21/2020 13:10:44], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Periodically options: [Enabled: True, Period: 4 hour(s), ScheduleString: <scheduler><Sunday>1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0</Sunday><Monday>1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0</Monday><Tuesday>1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0</Tuesday><Wednesday>1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0</Wednesday><Thursday>1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0</Thursday><Friday>1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0</Friday><Saturday>1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0</Saturday></scheduler>, HourlyOffset: 5]","4","ReFS-PerVM","Increment","Daily","Saturday","True","False","Monday Tuesday Wednesday Thursday Friday Saturday Sunday"
"AUSVCENTER-NoTag","Backup","4/21/2020 14:28:43","Start time: [4/21/2020 12:05:00], Latest run time: [4/21/2020 10:51:00], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Periodically options: [Enabled: True, Period: 4 hour(s), ScheduleString: <scheduler><Sunday>0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1</Sunday><Monday>0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1</Monday><Tuesday>0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1</Tuesday><Wednesday>0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1</Wednesday><Thursday>0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1</Thursday><Friday>0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1</Friday><Saturday>0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1</Saturday></scheduler>, HourlyOffset: 5]","4","ReFS-PerVM","Increment","Daily","Saturday","True","False","Monday Tuesday Wednesday Thursday Friday Saturday Sunday"
"vCenterServers","Backup","3/23/2020 15:27:05","Start time: [4/21/2020 19:00:00], Latest run time: [4/21/2020 13:13:00], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Daily options: [Enabled: True, DayNumberInMonth: Everyday, Days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday]","5","ReFS-PerVM","Increment","Daily","Saturday","True","False","Saturday"
"HyperV","Backup",,"Start time: [9/19/2019 22:00:00], Latest run time: [9/19/2019 13:09:19], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Daily options: [Enabled: True, DayNumberInMonth: Everyday, Days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday]","14","NTFS-Bulk","Increment","Daily","Saturday","True","False","Saturday"
"SOBRBackupTest","Backup",,"Start time: [4/24/2020 22:00:00], Latest run time: [4/24/2020 13:05:53], Timeout for backup completion: [180min], Next run time: [], Retry times on failure: [3], Retry timeout: [10 min], Daily options: [Enabled: True, DayNumberInMonth: Everyday, Days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday]","7","SOBR_Test","Increment","Daily","Saturday","True","False","Saturday"
