"Info","ParentId","Id","Name","Reference","Description","IsUnavailable","Type","ApiVersion","PhysHostId","ProxyServicesCreds"
"ausvcenter.lab.fullstackgeek.net (VMware vCenter Server)","00000000-0000-0000-0000-000000000000","fdd958d1-0a04-410a-964f-0f8f9c13a5fe","ausvcenter.lab.fullstackgeek.net","","Austin vCenter Server","False","VC","V672","ec1ad47d-e38a-4390-95df-7b555a9a77f7",
"nest-esxi2.lab.fullstackgeek.net (VMware ESXi Server)","fdd958d1-0a04-410a-964f-0f8f9c13a5fe","8d5d5b3b-7aa1-423e-b2d2-133e1da9d0ca","nest-esxi2.lab.fullstackgeek.net","host-22655","","False","ESXi","V67","060d6daf-ac7c-4e26-9878-e0c425099307",
"esxi2.lab.fullstackgeek.net (VMware ESXi Server)","fdd958d1-0a04-410a-964f-0f8f9c13a5fe","3fcdad8a-5bb8-4e4b-abd2-3d484ca98714","esxi2.lab.fullstackgeek.net","host-34","","False","ESXi","V672","70cf28dc-855d-4bbd-a5f1-61ed767d01e5",
"ausjump01.lab.fullstackgeek.net (Microsoft Windows Server)","00000000-0000-0000-0000-000000000000","cca8cb04-2bea-4a82-bc8a-5caa71094b99","ausjump01.lab.fullstackgeek.net","","File to Tape Test VM","True","Windows","Unknown","6cf90933-57a5-4f9e-a807-55216d1b6c48","Veeam.Backup.Common.CCredentials"
"esxi2.fsglab.local (VMware ESXi Server)","5000abb5-f13d-4434-a48d-bec0763f68f3","51434bbf-3389-42ec-b0e4-675d852f305c","esxi2.fsglab.local","host-154","","False","ESXi","V672","70cf28dc-855d-4bbd-a5f1-61ed767d01e5",
"esxi3.lab.fullstackgeek.net (VMware ESXi Server)","fdd958d1-0a04-410a-964f-0f8f9c13a5fe","796c8a1b-893e-4613-b332-7a4d93bcd700","esxi3.lab.fullstackgeek.net","host-22554","","False","ESXi","V672","8736fdd7-1a5d-4504-a047-9f5e54fd7f46",
"This server (Microsoft Windows Server)","00000000-0000-0000-0000-000000000000","6745a759-2205-4cd2-b172-8ec8f7e60ef8","ausveeambr.lab.fullstackgeek.net","","Backup server","False","Local","Unknown","d7c4ff97-b99b-4d1f-884d-283b7b6b9ee3",
"esxi3.fsglab.local (VMware ESXi Server)","5000abb5-f13d-4434-a48d-bec0763f68f3","2725ab9f-777b-4490-977c-a8dfc8d7537e","esxi3.fsglab.local","host-86","","False","ESXi","V672","8736fdd7-1a5d-4504-a047-9f5e54fd7f46",
"esxi1.fsglab.local (VMware ESXi Server)","5000abb5-f13d-4434-a48d-bec0763f68f3","f38ab6c2-1fa7-44f7-bbf2-b6c8f7cf5d57","esxi1.fsglab.local","host-32","","False","ESXi","V672","959f14c3-b237-42d4-81f3-12c736786dc1",
"ausvcenter.fsglab.local (VMware vCenter Server)","00000000-0000-0000-0000-000000000000","5000abb5-f13d-4434-a48d-bec0763f68f3","ausvcenter.fsglab.local","","Austin vCenter","False","VC","V672","22edcd4f-ff8b-47b2-b1af-93dcaac69898",
"ausveeampxy02.lab.fullstackgeek.net (Microsoft Windows Server)","00000000-0000-0000-0000-000000000000","90e93595-590b-4651-8081-d3588cee8b85","ausveeampxy02.lab.fullstackgeek.net","","Austin Proxy #2","False","Windows","Unknown","bfc7b0b9-358e-42b3-bf6c-8d693df86465","Veeam.Backup.Common.CCredentials"
"ausveeampxy01.lab.fullstackgeek.net (Microsoft Windows Server)","00000000-0000-0000-0000-000000000000","c251e39e-3b10-4a71-94de-ddfdfc7e6e9c","ausveeampxy01.lab.fullstackgeek.net","","Austin Proxy #1","False","Windows","Unknown","df9e4963-1d19-44fb-973a-73cd51fcf318","Veeam.Backup.Common.CCredentials"
"hyperv.lab.fullstackgeek.net (Microsoft Hyper-V Server)","00000000-0000-0000-0000-000000000000","ce4c7031-12d7-41c8-8ccd-de43c29dc6cf","hyperv.lab.fullstackgeek.net",,"Standalong Hyper-V nested host","True","HvServer","Unknown","2e7068cb-145f-4d3a-8b85-8fbf99e72e9b","Veeam.Backup.Common.CCredentials"
"ausubuntufile.lab.fullstackgeek.net (Linux Host)","00000000-0000-0000-0000-000000000000","49406aa2-a443-4db2-aefe-f40c108492fd","ausubuntufile.lab.fullstackgeek.net","","ausubuntufile.lab.fullstackgeek.net","True","Linux","Unknown","a756f27f-0ce3-4fea-959c-f8b618487e50",
