BackupJob,VMName,Timestamp,BackupSize(GB),DataSize(GB)
VMware - File Server,ATLFILE01,8/25/2019 17:41,0.65,1.66
VMware - File Server,ATLFILE01,8/29/2019 2:00,1.16,3.11
VMware - File Server,ATLFILE01,9/1/2019 2:00,0.63,1.72
VMware - File Server,ATLFILE01,8/26/2019 2:00,0.38,1.08
VMware - File Server,ATLFILE01,8/31/2019 2:00,14.58,120
VMware - File Server,ATLFILE01,8/25/2019 2:00,0.85,2.07
VMware - File Server,ATLFILE01,8/30/2019 9:06,0.73,1.73
VMware - File Server,ATLFILE01,9/3/2019 2:00,0.66,1.82
VMware - File Server,ATLFILE01,8/27/2019 2:00,0.9,2.22
VMware - File Server,ATLFILE01,9/5/2019 2:00,0.69,1.78
VMware - File Server,ATLFILE01,8/28/2019 2:00,0.68,1.79
VMware - File Server,ATLFILE01,8/24/2019 2:00,14.63,120
VMware - File Server,ATLFILE01,9/2/2019 2:00,0.86,2.05
VMware - File Server,ATLFILE01,9/6/2019 2:00,0.84,2.14
VMware - File Server,ATLFILE01,9/4/2019 2:00,0.86,2.11
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/12/2019 15:25,0.83,20
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/12/2019 15:25,8.39,40
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/12/2019 16:52,0.05,0.11
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/12/2019 16:07,0.03,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,5/17/2019 6:10,8.28,40
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/12/2019 16:52,0.02,0
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/12/2019 16:07,0.53,1.32
