"Hostname","CreationTime","Job Name","FileSize(GB)","Full/Inc","Job Type","FileName","IsAvailable","FilePath","RepoName","RepoID"
"ATLUbunutu","4/5/2020 10:01:13 PM","VMware - Cloudian Immutable","0.0167","Full","VMware Backup","ATLUbunutu.vm-69397D2020-04-05T220243_6A96.vbk","False","ATLUbunutu.vm-69397D2020-04-05T220243_6A96.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 12:01:30 AM","VMware - Cloudian Immutable","11.7138","Full","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T000241_90D3.vbk","False","ATLlinuxDBs.vm-80402D2020-06-25T000241_90D3.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 1:01:18 AM","VMware - Cloudian Immutable","0.0511","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T010021_A27E.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T010021_A27E.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 2:01:34 AM","VMware - Cloudian Immutable","0.0532","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T020035_F8A0.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T020035_F8A0.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 3:01:26 AM","VMware - Cloudian Immutable","0.0514","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T030028_7AEF.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T030028_7AEF.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 4:01:22 AM","VMware - Cloudian Immutable","0.0637","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T040023_D01D.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T040023_D01D.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 5:01:14 AM","VMware - Cloudian Immutable","0.0503","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T050018_60B0.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T050018_60B0.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 6:01:10 AM","VMware - Cloudian Immutable","0.048","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T060014_CA06.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T060014_CA06.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 7:01:28 AM","VMware - Cloudian Immutable","0.0867","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T070032_D2EB.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T070032_D2EB.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 8:01:25 AM","VMware - Cloudian Immutable","0.0496","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T080030_2728.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T080030_2728.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 9:01:23 AM","VMware - Cloudian Immutable","0.0557","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T090025_DCD3.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T090025_DCD3.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 10:01:34 AM","VMware - Cloudian Immutable","0.0566","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T100028_3E19.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T100028_3E19.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 11:01:27 AM","VMware - Cloudian Immutable","0.0779","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T110031_D326.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T110031_D326.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 12:01:18 PM","VMware - Cloudian Immutable","0.1708","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T120021_1BA1.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T120021_1BA1.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 1:01:32 PM","VMware - Cloudian Immutable","1.676","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T130036_0EA3.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T130036_0EA3.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/25/2020 2:01:21 PM","VMware - Cloudian Immutable","0.0266","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-25T140025_11D6.vib","False","ATLlinuxDBs.vm-80402D2020-06-25T140025_11D6.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
