"Name","MoRefID","Uuid","Path","vCenter"
"DC","vm-29552","4213ec5b-7891-5120-9964-0c8c53b8cdda","ausvcenter.lab.fullstackgeek.net\Austin\AD2012R2\DC","ausvcenter.lab.fullstackgeek.net"
"client","vm-29557","42134328-efa2-8ae7-3a4c-6e11a90a90d2","ausvcenter.lab.fullstackgeek.net\Austin\AD2012R2\client","ausvcenter.lab.fullstackgeek.net"
"member","vm-29563","4213e0b5-fa7b-2af0-42bd-877e6c99d8d1","ausvcenter.lab.fullstackgeek.net\Austin\AD2012R2\member","ausvcenter.lab.fullstackgeek.net"
"aussql2k14","vm-29927","4213ac51-5308-c8da-c452-3edce5a4c1dc","ausvcenter.lab.fullstackgeek.net\Austin\Database\aussql2k14","ausvcenter.lab.fullstackgeek.net"
"ausjump01","vm-29560","564d7342-6628-abc6-40aa-8c616f268022","ausvcenter.lab.fullstackgeek.net\Austin\Management\ausjump01","ausvcenter.lab.fullstackgeek.net"
"ausveeambr","vm-476","564db4b1-8124-7268-fe1b-8121f64925eb","ausvcenter.fsglab.local\Austin\Veeam\ausveeambr","ausvcenter.fsglab.local"
"ausveeamone","vm-452","564d4068-d099-ff57-fed1-4206ecc1b0d3","ausvcenter.fsglab.local\Austin\Veeam\ausveeamone","ausvcenter.fsglab.local"
"ausveeambem","vm-467","564d1da4-4482-8f34-f616-2f5d6392dc01","ausvcenter.fsglab.local\Austin\Veeam\ausveeambem","ausvcenter.fsglab.local"
"ausdev01","vm-449","564da83a-a1b2-7823-558d-5d2e9bbc867d","ausvcenter.fsglab.local\Austin\Management\ausdev01","ausvcenter.fsglab.local"
"ausjump01","vm-451","564d7342-6628-abc6-40aa-8c616f268022","ausvcenter.fsglab.local\Austin\Management\ausjump01","ausvcenter.fsglab.local"
"member","vm-461","4213e0b5-fa7b-2af0-42bd-877e6c99d8d1","ausvcenter.fsglab.local\Austin\AD2012R2\member","ausvcenter.fsglab.local"
"DC","vm-470","4213ec5b-7891-5120-9964-0c8c53b8cdda","ausvcenter.fsglab.local\Austin\AD2012R2\DC","ausvcenter.fsglab.local"
"client","vm-460","42134328-efa2-8ae7-3a4c-6e11a90a90d2","ausvcenter.fsglab.local\Austin\AD2012R2\client","ausvcenter.fsglab.local"
"ausdc01","vm-41","564d4525-086d-3d1a-c6db-ae8a4306875d","ausvcenter.fsglab.local\Austin\Domain\ausdc01","ausvcenter.fsglab.local"
"ausdc02","vm-475","564d0ddd-ecf0-e3b8-e868-d4729452e066","ausvcenter.fsglab.local\Austin\Domain\ausdc02","ausvcenter.fsglab.local"
"ausvcenter","vm-48","564df5a1-273a-2887-3d76-728d1a11cd44","ausvcenter.fsglab.local\Austin\VirtualEnvironment\ausvcenter","ausvcenter.fsglab.local"
