"Name","MoRefID","Uuid","Path","vCenter"
"ausmembertst97","vm-29566","42137efd-c55f-1121-2fc3-06a59ea180e6","ausvcenter.lab.fullstackgeek.net\Austin\Generic\ausmembertst97","ausvcenter.lab.fullstackgeek.net"
"ausmembertst98","vm-29618","4213219d-28e7-6cb6-1421-60b623562b4d","ausvcenter.lab.fullstackgeek.net\Austin\Generic\ausmembertst98","ausvcenter.lab.fullstackgeek.net"
"ausofficetest","vm-29585","421393c9-f4b2-b9ef-3078-e59f5e48e507","ausvcenter.lab.fullstackgeek.net\Austin\Generic\ausofficetest","ausvcenter.lab.fullstackgeek.net"
"auswinjump01","vm-30229","42130e47-50d5-e1af-db0f-7ddb0ab22c46","ausvcenter.lab.fullstackgeek.net\Austin\Generic\auswinjump01","ausvcenter.lab.fullstackgeek.net"
"office2019","vm-30346","421351a8-e8bb-e949-8f16-78c633c1366d","ausvcenter.lab.fullstackgeek.net\Austin\Generic\office2019","ausvcenter.lab.fullstackgeek.net"
"HyperV","vm-29591","4213252e-f176-4025-2698-6f784090d123","ausvcenter.lab.fullstackgeek.net\Austin\HyperV\HyperV","ausvcenter.lab.fullstackgeek.net"
"ausfsgwsus","vm-29556","4213b9cf-f968-8e11-a89f-87263e5d1982","ausvcenter.lab.fullstackgeek.net\Austin\Domain\ausfsgwsus","ausvcenter.lab.fullstackgeek.net"
"ausfsgca","vm-29587","42138fc5-b566-ccf7-eae2-c89c8f204962","ausvcenter.lab.fullstackgeek.net\Austin\Domain\ausfsgca","ausvcenter.lab.fullstackgeek.net"
"coredc01","vm-29589","564d90df-3209-9fe4-bdb7-abcc81c3799d","ausvcenter.lab.fullstackgeek.net\Austin\Domain\coredc01","ausvcenter.lab.fullstackgeek.net"
"ausdc02","vm-30222","4213b79b-49ae-4db2-50de-b8aea060e952","ausvcenter.lab.fullstackgeek.net\Austin\Domain\ausdc02","ausvcenter.lab.fullstackgeek.net"
"ausdc01_old","vm-29548","4213503e-72a6-464c-a657-032251804089","ausvcenter.lab.fullstackgeek.net\Austin\Domain\ausdc01_old","ausvcenter.lab.fullstackgeek.net"
"ausdc01","vm-30219","4213fc65-2c23-3bec-0f32-41d4c9005462","ausvcenter.lab.fullstackgeek.net\Austin\Domain\ausdc01","ausvcenter.lab.fullstackgeek.net"
"coreveeampn","vm-29551","42139513-2c04-1938-48ec-1873190bb2ef","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\coreveeampn","ausvcenter.lab.fullstackgeek.net"
"ausveeamone","vm-29562","564d03be-6ffd-1e58-56b6-467ee38ad507","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeamone","ausvcenter.lab.fullstackgeek.net"
"ausveeambem","vm-29567","4213e47b-4d66-4d6a-6fd7-4b9360a8ac3c","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeambem","ausvcenter.lab.fullstackgeek.net"
"vbrv10rtmbem","vm-29821","4213e672-ca49-18d1-8926-feda3f13a499","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vbrv10rtmbem","ausvcenter.lab.fullstackgeek.net"
"vonev10rtm","vm-29825","42138a0d-9588-09f8-dc1f-04c8dda11ed0","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vonev10rtm","ausvcenter.lab.fullstackgeek.net"
"v10chocotest","vm-29963","42132634-404f-eed5-7c4c-a964ad4591a6","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\v10chocotest","ausvcenter.lab.fullstackgeek.net"
"vbrfilebeta2","vm-29588","42133cc7-f452-b15e-cf6a-9613f669ff37","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vbrfilebeta2","ausvcenter.lab.fullstackgeek.net"
"vbrv10rtmpxy","vm-29813","4213d2d0-b242-d5ed-e5c4-82484aa74cff","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vbrv10rtmpxy","ausvcenter.lab.fullstackgeek.net"
"vbrbeta2","vm-29558","421380bc-1185-2ab1-e982-e00c4425634c","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vbrbeta2","ausvcenter.lab.fullstackgeek.net"
"vbrrc1","vm-29573","564dd1fc-4930-956d-cbdf-4a461766153c","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vbrrc1","ausvcenter.lab.fullstackgeek.net"
"vbrfilerc1","vm-29564","564d371e-0c47-9e70-5172-c212eb334e15","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vbrfilerc1","ausvcenter.lab.fullstackgeek.net"
"vbrv10rtm","vm-29812","4213d32c-92fa-da00-860b-56ae3f486062","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\v10\vbrv10rtm","ausvcenter.lab.fullstackgeek.net"
"ausveeambr","vm-29569","564dbbe3-555c-efaa-da32-be9531032bd1","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeambr","ausvcenter.lab.fullstackgeek.net"
"ausvbo","vm-29595","4213de95-6ceb-ed76-9f68-5d87c65673f7","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausvbo","ausvcenter.lab.fullstackgeek.net"
"ausveeamvtl","vm-29586","4213f6ce-d6fe-433e-2ae5-0819c2bba6f0","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeamvtl","ausvcenter.lab.fullstackgeek.net"
"ausvbopxy","vm-29596","4213310f-0b97-83c9-d18d-8ea0aa648bb3","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausvbopxy","ausvcenter.lab.fullstackgeek.net"
"ausveeampxy01","vm-29568","564d6c7f-1fce-97aa-c41a-5a519b0b678f","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeampxy01","ausvcenter.lab.fullstackgeek.net"
"ausveeampxy02","vm-29577","421394eb-e817-68c5-06ea-cbeb4b949c74","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeampxy02","ausvcenter.lab.fullstackgeek.net"
"ausvrorch","vm-29576","42136df0-741d-1108-952f-dff27a842a04","ausvcenter.lab.fullstackgeek.net\Austin\VirtualEnvironment\ausvrorch","ausvcenter.lab.fullstackgeek.net"
"ausvcenter_old","vm-7371","564d1f52-a04d-d59a-7a48-866a2e92349b","ausvcenter.lab.fullstackgeek.net\Austin\VirtualEnvironment\ausvcenter_old","ausvcenter.lab.fullstackgeek.net"
"ausubuntufile","vm-29582","564dfb8f-e842-407a-522a-bee852685fba","ausvcenter.lab.fullstackgeek.net\Austin\Linux\ausubuntufile","ausvcenter.lab.fullstackgeek.net"
"ausubuntudev01","vm-29570","4213c2b3-6024-0288-dcc5-b0d99aa8dfb7","ausvcenter.lab.fullstackgeek.net\Austin\Linux\ausubuntudev01","ausvcenter.lab.fullstackgeek.net"
"aussplunk","vm-29592","42136ec9-1778-c7f2-2833-468fbc68b2eb","ausvcenter.lab.fullstackgeek.net\Austin\Monitoring\aussplunk","ausvcenter.lab.fullstackgeek.net"
"fah_1","vm-30375","42137283-5db3-068d-cae1-5ad7e5901930","ausvcenter.lab.fullstackgeek.net\Austin\Discovered virtual machine\fah_1","ausvcenter.lab.fullstackgeek.net"
"veeamdeploy","vm-30407","421378ca-78e6-65a3-0b6a-009d4e44eaa0","ausvcenter.lab.fullstackgeek.net\Austin\Discovered virtual machine\veeamdeploy","ausvcenter.lab.fullstackgeek.net"
"fah_3","vm-30377","421320cc-525d-8829-c88b-cdb291ad7d7b","ausvcenter.lab.fullstackgeek.net\Austin\Discovered virtual machine\fah_3","ausvcenter.lab.fullstackgeek.net"
"fah_2","vm-30376","4213de09-2e12-eef3-6fd0-745faf39453f","ausvcenter.lab.fullstackgeek.net\Austin\Discovered virtual machine\fah_2","ausvcenter.lab.fullstackgeek.net"
