BackupJob,VMName,Timestamp,BackupSize(GB),BackupCost($)
VMware - Windows10 - Backup1,ALPOSECentral10,11/28/2018 3:00,0.21,0.03
VMware - Windows10 - Backup1,ALPOSECentral10,11/21/2018 3:00,0.38,0.06
VMware - Windows10 - Backup1,ALPOSECentral10,11/24/2018 3:01,7.39,1.11
VMware - Windows10 - Backup1,ALPOSECentral10,11/17/2018 3:00,7.32,1.1
VMware - Linux - Backup2,ALPUBUNTU01,11/20/2018 14:53,0.22,0.03
VMware - Linux - Backup2,ALPUBUNTU01,11/17/2018 2:37,17.99,2.7
VMware - Linux - Backup2,ALPUBUNTU01,11/28/2018 2:41,0.36,0.05
VMware - Linux - Backup2,ALPUBUNTU01,11/21/2018 2:36,0.03,0
VMware - Linux - Backup2,ALPUBUNTU01,11/24/2018 2:36,18.05,2.71
VMware - Windows10 - Backup3,ALPOSECentral10,11/21/2018 3:16,0.78,0.12
VMware - Windows10 - Backup3,ALPOSECentral10,11/28/2018 3:10,0.45,0.07
VMware - Windows10 - Backup3,ALPOSECentral10,11/17/2018 3:06,9.06,1.36
VMware - Windows10 - Backup3,ALPOSECentral10,11/24/2018 3:07,9.18,1.38
VMware - Explorer VMs - Backup1,4 VM(s),11/28/2018 2:00,22.17,3.33
VMware - Explorer VMs - Backup1,4 VM(s),11/21/2018 2:01,5.22,0.78
VMware - Explorer VMs - Backup1,4 VM(s),11/20/2018 14:39,23.41,3.51
VMware - Explorer VMs - Backup1,4 VM(s),11/14/2018 2:00,210.5,31.58
VMware - Explorer VMs - Backup2,ATLEXCH01,11/7/2018 4:48,24.66,3.7
VMware - Explorer VMs - Backup2,ATLExchange2016,11/21/2018 2:16,11.24,1.69
VMware - Explorer VMs - Backup2,ATLExchange2016,11/14/2018 2:24,3.47,0.52
VMware - Explorer VMs - Backup2,ATLExchange2016,11/28/2018 4:27,8.37,1.26
VMware - Explorer VMs - Backup2,ATLExchange2016,11/13/2018 12:28,26.24,3.94
VMware - Explorer VMs - Backup2,ATLSharepoint2016,11/14/2018 2:24,5.36,0.8
VMware - Explorer VMs - Backup2,ATLSharepoint2016,11/13/2018 12:28,21.24,3.19
VMware - Explorer VMs - Backup2,ATLSharepoint2016,11/28/2018 4:27,9.73,1.46
VMware - Explorer VMs - Backup2,ATLSharepoint2016,11/21/2018 2:16,7.69,1.15
VMware - Explorer VMs - Backup2,ATLSP01,11/28/2018 4:27,0.03,0
VMware - Explorer VMs - Backup2,ATLSP01,11/14/2018 2:24,0.03,0
VMware - Explorer VMs - Backup2,ATLSP01,11/21/2018 2:16,0.03,0
VMware - Explorer VMs - Backup2,ATLSP01,11/13/2018 12:28,26.33,3.95
VMware - Explorer VMs - Backup2,ALPAD01,11/14/2018 2:24,1.7,0.26
VMware - Explorer VMs - Backup2,ALPAD01,11/13/2018 12:28,29.87,4.48
VMware - Explorer VMs - Backup2,ALPAD01,11/28/2018 4:27,0.65,0.1
VMware - Explorer VMs - Backup2,ALPAD01,11/21/2018 2:16,0.95,0.14
VMware - Explorer VMs - Backup2,ATLSQL01,10/24/2018 4:38,19.27,2.89
VMware - Linux - Backup1,Linux,11/28/2018 2:30,0.16,0.02
VMware - Linux - Backup1,Linux,11/24/2018 2:30,10.69,1.6
VMware - Linux - Backup1,Linux,11/17/2018 2:30,10.65,1.6
VMware - Linux - Backup1,Linux,11/21/2018 2:30,0.11,0.02
VMware - Windows8 - Backup,ALPOSECentral8,1/31/2017 20:34,10.88,1.63
VMware - Windows8 - Backup,ALPOSECentral8,4/4/2018 3:49,1.14,0.17
VMware - Windows8 - Backup,ALPOSECentral8,3/28/2018 3:51,1.53,0.23
VMware - Windows8 - Backup,ALPOSECentral8,5/16/2018 3:48,1.4,0.21
VMware - Windows8 - Backup,ALPOSECentral8,9/12/2018 3:57,2.65,0.4
VMware - Windows8 - Backup,ALPOSECentral8,8/2/2017 3:48,1.1,0.16
VMware - Windows8 - Backup,ALPOSECentral8,12/27/2017 3:50,1,0.15
VMware - Windows8 - Backup,ALPOSECentral8,6/13/2018 3:53,3.21,0.48
VMware - Windows8 - Backup,ALPOSECentral8,3/7/2018 3:50,1.16,0.17
VMware - Windows8 - Backup,ALPOSECentral8,11/29/2017 3:51,2.15,0.32
VMware - Windows8 - Backup,ALPOSECentral8,1/31/2018 3:48,1.02,0.15
VMware - Windows8 - Backup,ALPOSECentral8,11/14/2018 3:44,1.29,0.19
VMware - Windows8 - Backup,ALPOSECentral8,7/18/2017 13:13,0.1,0.02
VMware - Windows8 - Backup,ALPOSECentral8,5/23/2018 3:48,1.74,0.26
VMware - Windows8 - Backup,ALPOSECentral8,11/15/2017 3:49,1.57,0.24
VMware - Windows8 - Backup,ALPOSECentral8,10/25/2017 3:50,1.34,0.2
VMware - Windows8 - Backup,ALPOSECentral8,4/11/2018 3:51,2.13,0.32
VMware - Windows8 - Backup,ALPOSECentral8,5/2/2018 3:51,1.11,0.17
VMware - Windows8 - Backup,ALPOSECentral8,8/22/2018 3:57,2.66,0.4
VMware - Windows8 - Backup,ALPOSECentral8,10/3/2018 3:52,1.25,0.19
VMware - Windows8 - Backup,ALPOSECentral8,10/4/2017 3:48,1.02,0.15
VMware - Windows8 - Backup,ALPOSECentral8,7/18/2018 3:56,2.64,0.4
VMware - Windows8 - Backup,ALPOSECentral8,8/23/2017 3:50,1.49,0.22
VMware - Windows8 - Backup,ALPOSECentral8,10/11/2017 3:48,1.71,0.26
VMware - Windows8 - Backup,ALPOSECentral8,9/13/2017 3:49,2.29,0.34
VMware - Windows8 - Backup,ALPOSECentral8,5/9/2018 3:50,1.85,0.28
VMware - Windows8 - Backup,ALPOSECentral8,6/27/2018 3:57,1.78,0.27
VMware - Windows8 - Backup,ALPOSECentral8,11/8/2017 3:49,1.43,0.21
VMware - Windows8 - Backup,ALPOSECentral8,9/5/2018 3:53,1.93,0.29
VMware - Windows8 - Backup,ALPOSECentral8,3/21/2018 3:58,1,0.15
VMware - Windows8 - Backup,ALPOSECentral8,10/31/2018 4:37,1.1,0.16
VMware - Windows8 - Backup,ALPOSECentral8,7/18/2017 10:15,11.47,1.72
VMware - Windows8 - Backup,ALPOSECentral8,8/1/2018 3:54,1.42,0.21
VMware - Windows8 - Backup,ALPOSECentral8,7/11/2018 3:50,1,0.15
VMware - Windows8 - Backup,ALPOSECentral8,5/30/2018 3:48,1.18,0.18
VMware - Windows8 - Backup,ALPOSECentral8,10/24/2018 3:54,2.48,0.37
VMware - Windows8 - Backup,ALPOSECentral8,11/21/2018 3:51,0.93,0.14
VMware - Windows8 - Backup,ALPOSECentral8,1/17/2018 4:00,2.23,0.33
VMware - Windows8 - Backup,ALPOSECentral8,2/7/2018 3:47,1.1,0.16
VMware - Windows8 - Backup,ALPOSECentral8,8/8/2018 3:54,1.4,0.21
VMware - Windows8 - Backup,ALPOSECentral8,11/1/2017 3:49,1.58,0.24
