"JobName","VMName","Status","IsRetry","ProcessingMode","WorkDuration","TaskAlgorithm","CreationTime","BackupSize","DataSize","DedupRatio","CompressRatio"
"SQLLogCopy","ausveeambem","Success","False","hotadd","27.0901772","Increment","2/5/2020 12:00:16","221619200","678615694","96","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","7.3749612","Increment","2/1/2020 14:00:16","191187968","554885021","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","7.7169826","Increment","2/2/2020 23:00:10","186355200","543350388","100","33"
"SQLLogCopy","ausveeambem","Success","True","hotadd","136.0454954","Increment","2/6/2020 08:35:00","826907648","2891110935","88","32"
"SQLLogCopy","ausveeambem","Success","False","hotadd","10.2344072","Increment","2/2/2020 08:00:23","191410176","554885016","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","7.2970225","Increment","2/7/2020 07:00:22","151658496","475196066","100","31"
"SQLLogCopy","ausveeambem","Success","False","hotadd","5.5624234","Increment","2/3/2020 08:00:01","188227584","562224624","98","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","11.5151369","Increment","2/5/2020 17:00:03","228425216","691198569","98","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.6669219","Increment","2/3/2020 18:00:14","192453120","567467322","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","7.7514981","Increment","2/2/2020 16:00:16","176021504","507698916","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","11.9688268","Increment","2/4/2020 19:00:04","195001856","584244130","100","32"
"SQLLogCopy","ausveeambem","Success","False","hotadd","12.4844631","Increment","2/7/2020 05:00:23","343377408","1184033483","99","28"
"SQLLogCopy","ausveeambem","Success","False","hotadd","2102.6839114","Full","1/31/2020 10:54:12","18730842112","107374372222","33","51"
"SQLLogCopy","ausveeambem","Success","False","hotadd","10.4818809","Increment","2/5/2020 07:00:06","187117568","567466757","100","32"
"SQLLogCopy","ausveeambem","Success","False","hotadd","10.7166827","Increment","2/3/2020 09:00:05","342443520","1165155809","100","29"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.9219772","Increment","2/7/2020 09:00:02","383380992","1172499096","84","38"
"SQLLogCopy","ausveeambem","Success","False","hotadd","8.9141355","Increment","2/3/2020 17:00:11","196770816","574807377","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.5776431","Increment","2/7/2020 00:00:06","166556672","519236425","100","31"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.2221286","Increment","2/5/2020 20:00:13","176118784","518183444","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","45.6716789","Increment","2/4/2020 13:00:08","187633152","567467018","98","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","6.8287921","Increment","2/6/2020 11:00:10","174571520","541256104","99","31"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.1652352","Increment","2/1/2020 01:00:14","198864896","580051279","99","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","8.232866","Increment","2/1/2020 05:00:10","322551808","1109582012","97","29"
"SQLLogCopy","ausveeambem","Success","False","hotadd","13.8272724","Increment","2/5/2020 13:00:10","186344448","563272319","98","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","7.2334679","Increment","2/3/2020 11:00:13","182038016","540204456","98","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.8749697","Increment","2/4/2020 09:00:20","296018944","1027791945","100","28"
"SQLLogCopy","ausveeambem","Success","False","hotadd","31.1249261","Increment","2/4/2020 10:00:01","189426688","574807106","98","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","10.8125123","Increment","1/31/2020 19:00:06","229616640","667083335","99","34"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.2167674","Increment","2/2/2020 20:00:06","366959104","1233313483","100","29"
"SQLLogCopy","ausveeambem","Success","False","hotadd","7.1390871","Increment","2/2/2020 19:00:02","176664064","511893201","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","5.6874286","Increment","2/1/2020 21:00:13","221395456","784523362","84","32"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.4843419","Increment","2/2/2020 07:00:23","179617280","520282020","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","9.0761973","Increment","2/2/2020 22:00:09","187536896","549641873","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","16.1191688","Increment","2/3/2020 20:00:00","183757824","537058581","100","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","12.5156383","Increment","2/2/2020 15:00:14","408496640","1208147690","85","39"
"SQLLogCopy","ausveeambem","Success","False","hotadd","6.7031904","Increment","2/5/2020 02:00:11","224529408","678615866","98","33"
"SQLLogCopy","ausveeambem","Success","False","hotadd","10.4842622","Increment","2/4/2020 20:00:09","217679360","641915799","100","33"
