"InitiatedBy","SessionName","SessionStartTime","ItemName","ItemSize","SourceName","LogEntryID","LogDetail","LogItemCreationTime","LogItemEndTime","SessionStatus","SessionResult","ProcessedObjects"
"USDEMO\Esteve.Nobime","Exchange restore (Entire organization - 8/27/2020 6:01:21 PM)","9/2/2020 10:41:32 AM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","9/2/2020 10:42:32 AM","9/2/2020 10:42:32 AM","Stopped","Success","1"
"USDEMO\Esteve.Nobime","Exchange restore (Entire organization - 8/31/2020 6:01:14 PM)","9/1/2020 2:43:12 PM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","9/1/2020 2:49:52 PM","9/1/2020 2:49:52 PM","Stopped","Success","1"
"USDEMO\Esteve.Nobime","Exchange restore (Job: Office 365 Suite to Blob - 8/26/2020 6:01:27 PM)","8/27/2020 2:25:25 PM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","8/27/2020 2:27:06 PM","8/27/2020 2:27:06 PM","Stopped","Success","1"
"USDEMO\justin.bryant","Exchange restore (Entire organization - 8/24/2020 6:01:34 PM)","8/25/2020 4:51:43 PM","Scale-out Backup Repository: SOBR + S3 Bucket","19417","Justin Bryant\Inbox","1","Item Scale-out Backup Repository: SOBR + S3 Bucket was opened successfully (type: IPM.Note; source: Justin Bryant\Inbox; target: Justin Bryant\Inbox)","8/25/2020 4:52:56 PM","8/25/2020 4:52:56 PM","Stopped","Success","3"
"USDEMO\justin.bryant","Exchange restore (Entire organization - 8/24/2020 6:01:34 PM)","8/25/2020 4:51:43 PM","Undeliverable: Report Datastore Capacity","318881","Justin Bryant\Inbox","2","Item Undeliverable: Report Datastore Capacity was opened successfully (type: REPORT.IPM.Note.NDR; source: Justin Bryant\Inbox; target: Justin Bryant\Inbox)","8/25/2020 4:53:13 PM","8/25/2020 4:53:13 PM","Stopped","Success","3"
"USDEMO\justin.bryant","Exchange restore (Entire organization - 8/24/2020 6:01:34 PM)","8/25/2020 4:51:43 PM","Undeliverable: Report Datastore Capacity","318881","Justin Bryant\Inbox","3","Item Undeliverable: Report Datastore Capacity was opened successfully (type: REPORT.IPM.Note.NDR; source: Justin Bryant\Inbox; target: Justin Bryant\Inbox)","8/25/2020 4:53:28 PM","8/25/2020 4:53:28 PM","Stopped","Success","3"
"USDEMO\Esteve.Nobime","Exchange restore (Job: Office 365 Suite to Blob - 8/24/2020 6:02:06 PM)","8/25/2020 1:58:17 PM","You've joined the Real Estate group","372536","Arya Stark\Archive","1","Item You've joined the Real Estate group was opened successfully (type: IPM.Note.GroupMailbox.WelcomeEmail; source: Arya Stark\Archive; target: Arya Stark\Archive)","8/25/2020 1:59:40 PM","8/25/2020 1:59:40 PM","Stopped","Success","1"
"USDEMO\Esteve.Nobime","Exchange restore (Entire organization - 8/10/2020 6:16:30 PM)","8/20/2020 1:32:16 PM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","8/20/2020 1:33:30 PM","8/20/2020 1:33:30 PM","Stopped","Success","1"
"USDEMO\justin.bryant","Exchange restore (Entire organization - 8/18/2020 6:03:09 PM)","8/19/2020 11:06:03 AM","You've joined the Real Estate group","376238","Jon Snow\Inbox","1","Item You've joined the Real Estate group was opened successfully (type: IPM.Note.GroupMailbox.WelcomeEmail; source: Jon Snow\Inbox; target: Jon Snow\Inbox)","8/19/2020 11:14:46 AM","8/19/2020 11:14:46 AM","Stopped","Success","1"
"USDEMO\justin.bryant","Exchange restore (Entire organization - 8/18/2020 6:02:41 PM)","8/18/2020 11:22:30 PM","Your mailbox is almost full.","14510","Andy Perkins\Inbox","1","Item Your mailbox is almost full. was opened successfully (type: IPM.Note.StorageQuotaWarning.Warning; source: Andy Perkins\Inbox; target: Andy Perkins\Inbox)","8/18/2020 11:23:19 PM","8/18/2020 11:23:19 PM","Stopped","Success","1"
