"RestorePointType","JobAlgorithm","BackupEndTime(UTC)","IncludedTags","State","TotalSize","VMName","Result","JobName","Reason","BackupCreationTime(UTC)"
"Increment","Incremental","2019-04-18T17:27:47.74Z",,"Completed","827129856","ausdev01","Success","VeeamOneTest","","2019-04-18T17:25:24.74Z"
"Full","Full","2019-04-19T05:27:22.863Z",,"Completed","58987184128","ausdev01","Success","VeeamOneTest","","2019-04-19T05:25:19.8Z"
"Increment","Incremental","2019-04-18T21:27:54.88Z",,"Completed","1311047680","ausdev01","Success","VeeamOneTest","","2019-04-18T21:25:25.31Z"
"Increment","Incremental","2019-04-18T17:27:47.74Z",,"Completed","827129856","ausdev01","Success","VeeamOneTest","","2019-04-18T17:25:24.74Z"
"Full","Full","2019-04-19T05:27:22.863Z",,"Completed","58987184128","ausdev01","Success","VeeamOneTest","","2019-04-19T05:25:19.8Z"
"Increment","Incremental","2019-04-18T21:27:54.88Z",,"Completed","1311047680","ausdev01","Success","VeeamOneTest","","2019-04-18T21:25:25.31Z"
"Increment","Incremental","2019-04-18T13:29:17.787Z",,"Completed","2321940480","ausdev01","Success","VeeamOneTest","","2019-04-18T13:25:24.41Z"
"Increment","Incremental","2019-04-19T01:27:43.143Z",,"Completed","1104412672","ausdev01","Success","VeeamOneTest","","2019-04-19T01:25:18.93Z"
"Increment","Incremental","2019-04-19T13:27:49.723Z",,"Completed","1269104640","ausdev01","Success","VeeamOneTest","","2019-04-19T13:25:34.333Z"
"Increment","Incremental","2019-04-18T09:27:55.387Z",,"Completed","877854720","ausdev01","Success","VeeamOneTest","","2019-04-18T09:25:19.45Z"
"Increment","Incremental","2019-04-19T09:28:02.113Z",,"Completed","1738014720","ausdev01","Success","VeeamOneTest","","2019-04-19T09:25:17.723Z"
"Full","Full","2019-04-18T05:27:53.92Z",,"Completed","58981613568","ausdev01","Success","VeeamOneTest","","2019-04-18T05:25:17.73Z"
"Full","Full","2019-05-24T05:31:09.487Z",,"Completed","8557559808","coredc01","Success","DomainControllers","","2019-05-24T05:28:45.003Z"
"Full","Full","2019-05-24T05:27:59.387Z",,"Completed","11489574912","ausdc01","Success","DomainControllers","","2019-05-24T05:25:18.403Z"
"Increment","Incremental","2019-05-26T17:29:19.377Z",,"Completed","151519232","coredc01","Success","DomainControllers","","2019-05-26T17:26:50.67Z"
"Increment","Incremental","2019-05-26T17:28:53.17Z",,"Completed","673710080","ausdc01","Success","DomainControllers","","2019-05-26T17:25:35.177Z"
"Increment","Incremental","2019-05-29T01:28:11.587Z",,"Completed","162856960","ausdc01","Success","DomainControllers","","2019-05-29T01:25:31.243Z"
"Increment","Incremental","2019-05-29T01:29:33.833Z",,"Completed","642056192","coredc01","Success","DomainControllers","","2019-05-29T01:27:12.24Z"
"Increment","Incremental","2019-05-25T01:28:06.107Z",,"Completed","162136064","ausdc01","Success","DomainControllers","","2019-05-25T01:25:37.56Z"
"Increment","Incremental","2019-05-25T01:29:35.543Z",,"Completed","657391616","coredc01","Success","DomainControllers","","2019-05-25T01:27:07.92Z"
"Increment","Incremental","2019-05-25T05:55:12.93Z",,"Completed","146276352","ausdc01","Success","DomainControllers","","2019-05-25T05:49:37.23Z"
"Increment","Incremental","2019-05-25T05:58:11.117Z",,"Completed","161677312","coredc01","Success","DomainControllers","","2019-05-25T05:54:28.26Z"
"Increment","Incremental","2019-05-26T21:28:14.46Z",,"Completed","164495360","ausdc01","Success","DomainControllers","","2019-05-26T21:25:26.763Z"
"Increment","Incremental","2019-05-26T21:31:22.703Z",,"Completed","148635648","coredc01","Success","DomainControllers","","2019-05-26T21:29:13.067Z"
"Increment","Incremental","2019-05-28T01:29:19.943Z",,"Completed","692846592","coredc01","Success","DomainControllers","","2019-05-28T01:26:48.533Z"
"Increment","Incremental","2019-05-28T01:28:18.34Z",,"Completed","169672704","ausdc01","Success","DomainControllers","","2019-05-28T01:25:33.273Z"
"Increment","Incremental","2019-05-27T09:28:19.743Z",,"Completed","685113344","ausdc01","Success","DomainControllers","","2019-05-27T09:25:16.263Z"
"Increment","Incremental","2019-05-27T09:29:26.54Z",,"Completed","155779072","coredc01","Success","DomainControllers","","2019-05-27T09:27:06.637Z"
"Increment","Incremental","2019-05-25T13:29:01.13Z",,"Completed","134414336","coredc01","Success","DomainControllers","","2019-05-25T13:26:32.34Z"
"Increment","Incremental","2019-05-25T13:28:35.18Z",,"Completed","655818752","ausdc01","Success","DomainControllers","","2019-05-25T13:25:17.053Z"
