"BackupSize","JobName","FileName","CompressRatio","DeduplicationRatio","CreationTimeUtc","DataSize","FileType"
"1378864128","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T211531.vib","3.45","0.99","2018-12-08T03:15:31.657Z","4729489187","vib"
"1378864128","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T211531.vib","3.45","0.99","2018-12-08T03:15:31.657Z","4729489187","vib"
"3236079616","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T171537.vib","2.56","1.13","2018-12-07T23:15:37.243Z","9385166774","vib"
"1378864128","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T211531.vib","3.45","0.99","2018-12-08T03:15:31.657Z","4729489187","vib"
"3236079616","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T171537.vib","2.56","1.13","2018-12-07T23:15:37.243Z","9385166774","vib"
"3219384832","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-06T131529.vib","2.56","0.99","2018-12-06T19:15:29.433Z","8140501502","vib"
"1378864128","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T211531.vib","3.45","0.99","2018-12-08T03:15:31.657Z","4729489187","vib"
"3236079616","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T171537.vib","2.56","1.13","2018-12-07T23:15:37.243Z","9385166774","vib"
"3219384832","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-06T131529.vib","2.56","0.99","2018-12-06T19:15:29.433Z","8140501502","vib"
"4942139392","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-06T171531.vib","2.38","1.11","2018-12-06T23:15:31.703Z","13112849167","vib"
"1378864128","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T211531.vib","3.45","0.99","2018-12-08T03:15:31.657Z","4729489187","vib"
"3236079616","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-07T171537.vib","2.56","1.13","2018-12-07T23:15:37.243Z","9385166774","vib"
"3219384832","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-06T131529.vib","2.56","0.99","2018-12-06T19:15:29.433Z","8140501502","vib"
"4942139392","AUSVCENTER-NoTag_2","AUSVCENTER-NoTag_2D2018-12-06T171531.vib","2.38","1.11","2018-12-06T23:15:31.703Z","13112849167","vib"
